email,order_channel,points,vists
ethan.young@gmail.com,Click-and-Collect,-80,127
maria.khan@outlook.com,In-Store,-96,125
ethan.young@gmail.com,In-Store,24,127
grace.rossi@example.com,In-Store,0,110
leo.taylor@gmail.com,Click-and-Collect,37,131
maria.khan@outlook.com,In-Store,-75,125
ethan.young@gmail.com,In-Store,48,127
grace.rossi@example.com,Click-and-Collect,6,110
daniel.patel@outlook.com,In-Store,34,140
leo.taylor@gmail.com,Click-and-Collect,-73,131
leo.taylor@gmail.com,In-Store,-20,131
daniel.patel@outlook.com,Click-and-Collect,13,140
leo.taylor@gmail.com,In-Store,34,131
maria.khan@outlook.com,In-Store,18,125
grace.rossi@example.com,In-Store,7,110
ethan.young@gmail.com,Click-and-Collect,10,127
daniel.patel@outlook.com,Click-and-Collect,-3,140
leo.taylor@gmail.com,Click-and-Collect,-66,131
ethan.young@gmail.com,Click-and-Collect,-50,127
grace.rossi@example.com,In-Store,29,110
maria.khan@outlook.com,Click-and-Collect,-52,125
leo.taylor@gmail.com,In-Store,31,131
maria.khan@outlook.com,Click-and-Collect,4,125
leo.taylor@gmail.com,Click-and-Collect,-63,131
daniel.patel@outlook.com,In-Store,-65,140
daniel.patel@outlook.com,Click-and-Collect,5,140
leo.taylor@gmail.com,In-Store,-19,131
ethan.young@gmail.com,In-Store,-27,127
ethan.young@gmail.com,In-Store,-51,127
leo.taylor@gmail.com,Click-and-Collect,-45,131
ethan.young@gmail.com,In-Store,-12,127
maria.khan@outlook.com,In-Store,-16,125
daniel.patel@outlook.com,In-Store,17,140
ethan.young@gmail.com,Click-and-Collect,-95,127
grace.rossi@example.com,In-Store,-57,110
grace.rossi@example.com,Click-and-Collect,-23,110
leo.taylor@gmail.com,In-Store,4,131
maria.khan@outlook.com,Click-and-Collect,20,125
daniel.patel@outlook.com,Click-and-Collect,-97,140
leo.taylor@gmail.com,Click-and-Collect,27,131
maria.khan@outlook.com,Click-and-Collect,37,125
grace.rossi@example.com,Click-and-Collect,-23,110
ethan.young@gmail.com,In-Store,-11,127
leo.taylor@gmail.com,In-Store,-3,131
grace.rossi@example.com,In-Store,17,110
ethan.young@gmail.com,Click-and-Collect,22,127
leo.taylor@gmail.com,In-Store,19,131
ethan.young@gmail.com,Click-and-Collect,-33,127
daniel.patel@outlook.com,In-Store,-45,140
daniel.patel@outlook.com,Click-and-Collect,-8,140
ethan.young@gmail.com,Click-and-Collect,-81,127
daniel.patel@outlook.com,In-Store,-67,140
daniel.patel@outlook.com,Click-and-Collect,-98,140
daniel.patel@outlook.com,In-Store,-70,140
leo.taylor@gmail.com,In-Store,1,131
grace.rossi@example.com,In-Store,-39,110
grace.rossi@example.com,In-Store,14,110
leo.taylor@gmail.com,Click-and-Collect,-45,131
ethan.young@gmail.com,In-Store,-39,127
daniel.patel@outlook.com,Click-and-Collect,14,140
maria.khan@outlook.com,Click-and-Collect,-2,125
leo.taylor@gmail.com,In-Store,-2,131
leo.taylor@gmail.com,In-Store,8,131
grace.rossi@example.com,In-Store,-72,110
grace.rossi@example.com,Click-and-Collect,-1,110
maria.khan@outlook.com,Click-and-Collect,-87,125
ethan.young@gmail.com,In-Store,-67,127
leo.taylor@gmail.com,Click-and-Collect,-49,131
grace.rossi@example.com,In-Store,18,110
maria.khan@outlook.com,In-Store,15,125
maria.khan@outlook.com,In-Store,5,125
daniel.patel@outlook.com,In-Store,-47,140
daniel.patel@outlook.com,In-Store,-99,140
ethan.young@gmail.com,In-Store,-90,127
ethan.young@gmail.com,Click-and-Collect,-6,127
leo.taylor@gmail.com,Click-and-Collect,9,131
daniel.patel@outlook.com,Click-and-Collect,16,140
ethan.young@gmail.com,Click-and-Collect,-1,127
maria.khan@outlook.com,Click-and-Collect,-66,125
ethan.young@gmail.com,Click-and-Collect,0,127
grace.rossi@example.com,Click-and-Collect,48,110
ethan.young@gmail.com,Click-and-Collect,-83,127
ethan.young@gmail.com,In-Store,8,127
leo.taylor@gmail.com,In-Store,11,131
grace.rossi@example.com,Click-and-Collect,-51,110
daniel.patel@outlook.com,Click-and-Collect,11,140
daniel.patel@outlook.com,Click-and-Collect,-18,140
maria.khan@outlook.com,Click-and-Collect,-24,125
leo.taylor@gmail.com,Click-and-Collect,-62,131
daniel.patel@outlook.com,In-Store,11,140
daniel.patel@outlook.com,Click-and-Collect,22,140
maria.khan@outlook.com,Click-and-Collect,11,125
leo.taylor@gmail.com,Click-and-Collect,50,131
daniel.patel@outlook.com,Click-and-Collect,6,140
daniel.patel@outlook.com,In-Store,-25,140
ethan.young@gmail.com,Click-and-Collect,-75,127
ethan.young@gmail.com,In-Store,-41,127
leo.taylor@gmail.com,Click-and-Collect,12,131
leo.taylor@gmail.com,Click-and-Collect,-53,131
leo.taylor@gmail.com,In-Store,-48,131
grace.rossi@example.com,Click-and-Collect,-78,110
daniel.patel@outlook.com,In-Store,4,140
maria.khan@outlook.com,In-Store,-5,125
ethan.young@gmail.com,Click-and-Collect,-15,127
leo.taylor@gmail.com,Click-and-Collect,-94,131
maria.khan@outlook.com,Click-and-Collect,37,125
ethan.young@gmail.com,In-Store,-22,127
leo.taylor@gmail.com,In-Store,31,131
daniel.patel@outlook.com,In-Store,-53,140
grace.rossi@example.com,In-Store,-96,110
ethan.young@gmail.com,Click-and-Collect,11,127
leo.taylor@gmail.com,Click-and-Collect,45,131
maria.khan@outlook.com,In-Store,-22,125
daniel.patel@outlook.com,Click-and-Collect,-1,140
ethan.young@gmail.com,In-Store,-55,127
ethan.young@gmail.com,Click-and-Collect,6,127
daniel.patel@outlook.com,In-Store,44,140
maria.khan@outlook.com,Click-and-Collect,19,125
maria.khan@outlook.com,In-Store,-20,125
daniel.patel@outlook.com,Click-and-Collect,9,140
maria.khan@outlook.com,In-Store,7,125
ethan.young@gmail.com,Click-and-Collect,29,127
grace.rossi@example.com,In-Store,2,110
grace.rossi@example.com,Click-and-Collect,47,110
ethan.young@gmail.com,In-Store,-17,127
maria.khan@outlook.com,Click-and-Collect,43,125
grace.rossi@example.com,Click-and-Collect,-4,110
daniel.patel@outlook.com,In-Store,-18,140
grace.rossi@example.com,In-Store,-26,110
grace.rossi@example.com,In-Store,-32,110
grace.rossi@example.com,In-Store,-77,110
maria.khan@outlook.com,In-Store,-71,125
maria.khan@outlook.com,In-Store,-19,125
maria.khan@outlook.com,In-Store,5,125
grace.rossi@example.com,Click-and-Collect,21,110
ethan.young@gmail.com,Click-and-Collect,-4,127
leo.taylor@gmail.com,Click-and-Collect,-23,131
ethan.young@gmail.com,Click-and-Collect,0,127
leo.taylor@gmail.com,In-Store,9,131
leo.taylor@gmail.com,In-Store,7,131
leo.taylor@gmail.com,In-Store,39,131
maria.khan@outlook.com,Click-and-Collect,14,125
daniel.patel@outlook.com,Click-and-Collect,-14,140
maria.khan@outlook.com,In-Store,3,125
ethan.young@gmail.com,Click-and-Collect,-22,127
daniel.patel@outlook.com,Click-and-Collect,-34,140
ethan.young@gmail.com,Click-and-Collect,46,127
daniel.patel@outlook.com,In-Store,13,140
maria.khan@outlook.com,Click-and-Collect,-7,125
ethan.young@gmail.com,In-Store,-28,127
ethan.young@gmail.com,Click-and-Collect,39,127
leo.taylor@gmail.com,In-Store,13,131
daniel.patel@outlook.com,Click-and-Collect,0,140
maria.khan@outlook.com,In-Store,31,125
maria.khan@outlook.com,Click-and-Collect,-67,125
daniel.patel@outlook.com,In-Store,44,140
grace.rossi@example.com,Click-and-Collect,8,110
leo.taylor@gmail.com,Click-and-Collect,36,131
leo.taylor@gmail.com,In-Store,-87,131
grace.rossi@example.com,In-Store,20,110
leo.taylor@gmail.com,In-Store,-2,131
ethan.young@gmail.com,In-Store,46,127
maria.khan@outlook.com,In-Store,31,125
ethan.young@gmail.com,Click-and-Collect,-14,127
ethan.young@gmail.com,In-Store,-57,127
grace.rossi@example.com,Click-and-Collect,10,110
leo.taylor@gmail.com,In-Store,-26,131
grace.rossi@example.com,In-Store,1,110
ethan.young@gmail.com,In-Store,-16,127
daniel.patel@outlook.com,Click-and-Collect,12,140
daniel.patel@outlook.com,Click-and-Collect,11,140
ethan.young@gmail.com,In-Store,-83,127
leo.taylor@gmail.com,Click-and-Collect,19,131
maria.khan@outlook.com,Click-and-Collect,-3,125
grace.rossi@example.com,In-Store,-53,110
daniel.patel@outlook.com,In-Store,5,140
leo.taylor@gmail.com,Click-and-Collect,10,131
daniel.patel@outlook.com,In-Store,-53,140
ethan.young@gmail.com,Click-and-Collect,-82,127
leo.taylor@gmail.com,Click-and-Collect,15,131
leo.taylor@gmail.com,In-Store,-66,131
maria.khan@outlook.com,Click-and-Collect,-44,125
daniel.patel@outlook.com,In-Store,23,140
grace.rossi@example.com,Click-and-Collect,-15,110
daniel.patel@outlook.com,Click-and-Collect,18,140
grace.rossi@example.com,In-Store,-47,110
maria.khan@outlook.com,In-Store,7,125
ethan.young@gmail.com,In-Store,-6,127
maria.khan@outlook.com,In-Store,-18,125
leo.taylor@gmail.com,In-Store,-83,131
daniel.patel@outlook.com,Click-and-Collect,-47,140
maria.khan@outlook.com,Click-and-Collect,44,125
leo.taylor@gmail.com,Click-and-Collect,20,131
maria.khan@outlook.com,In-Store,-49,125
daniel.patel@outlook.com,Click-and-Collect,9,140
daniel.patel@outlook.com,In-Store,27,140
leo.taylor@gmail.com,In-Store,21,131
leo.taylor@gmail.com,In-Store,-16,131
ethan.young@gmail.com,In-Store,17,127
daniel.patel@outlook.com,Click-and-Collect,-29,140
maria.khan@outlook.com,In-Store,-1,125
ethan.young@gmail.com,In-Store,24,127
leo.taylor@gmail.com,In-Store,-46,131
grace.rossi@example.com,Click-and-Collect,4,110
daniel.patel@outlook.com,In-Store,-8,140
maria.khan@outlook.com,In-Store,33,125
leo.taylor@gmail.com,Click-and-Collect,-9,131
ethan.young@gmail.com,Click-and-Collect,-77,127
daniel.patel@outlook.com,In-Store,-59,140
daniel.patel@outlook.com,Click-and-Collect,45,140
ethan.young@gmail.com,In-Store,40,127
grace.rossi@example.com,Click-and-Collect,18,110
leo.taylor@gmail.com,In-Store,-11,131
leo.taylor@gmail.com,Click-and-Collect,5,131
leo.taylor@gmail.com,Click-and-Collect,-92,131
leo.taylor@gmail.com,In-Store,13,131
ethan.young@gmail.com,Click-and-Collect,28,127
daniel.patel@outlook.com,Click-and-Collect,-34,140
maria.khan@outlook.com,In-Store,-22,125
ethan.young@gmail.com,Click-and-Collect,-12,127
ethan.young@gmail.com,Click-and-Collect,49,127
maria.khan@outlook.com,In-Store,31,125
maria.khan@outlook.com,Click-and-Collect,-67,125
ethan.young@gmail.com,In-Store,28,127
ethan.young@gmail.com,Click-and-Collect,-58,127
daniel.patel@outlook.com,Click-and-Collect,-12,140
leo.taylor@gmail.com,Click-and-Collect,-80,131
ethan.young@gmail.com,In-Store,22,127
ethan.young@gmail.com,In-Store,19,127
ethan.young@gmail.com,In-Store,30,127
maria.khan@outlook.com,Click-and-Collect,28,125
daniel.patel@outlook.com,Click-and-Collect,1,140
daniel.patel@outlook.com,Click-and-Collect,-99,140
maria.khan@outlook.com,In-Store,10,125
daniel.patel@outlook.com,Click-and-Collect,18,140
daniel.patel@outlook.com,Click-and-Collect,-40,140
grace.rossi@example.com,Click-and-Collect,-91,110
daniel.patel@outlook.com,Click-and-Collect,-86,140
daniel.patel@outlook.com,Click-and-Collect,-5,140
maria.khan@outlook.com,Click-and-Collect,2,125
maria.khan@outlook.com,Click-and-Collect,-15,125
daniel.patel@outlook.com,Click-and-Collect,12,140
grace.rossi@example.com,Click-and-Collect,45,110
leo.taylor@gmail.com,In-Store,27,131
maria.khan@outlook.com,Click-and-Collect,20,125
leo.taylor@gmail.com,In-Store,-79,131
ethan.young@gmail.com,In-Store,9,127
ethan.young@gmail.com,In-Store,50,127
leo.taylor@gmail.com,In-Store,17,131
grace.rossi@example.com,In-Store,-79,110
grace.rossi@example.com,Click-and-Collect,-8,110
leo.taylor@gmail.com,Click-and-Collect,46,131
maria.khan@outlook.com,In-Store,-61,125
daniel.patel@outlook.com,In-Store,-98,140
leo.taylor@gmail.com,Click-and-Collect,-20,131
grace.rossi@example.com,Click-and-Collect,39,110
grace.rossi@example.com,Click-and-Collect,-94,110
leo.taylor@gmail.com,Click-and-Collect,7,131
grace.rossi@example.com,Click-and-Collect,27,110
leo.taylor@gmail.com,Click-and-Collect,9,131
maria.khan@outlook.com,In-Store,-10,125
daniel.patel@outlook.com,Click-and-Collect,8,140
ethan.young@gmail.com,In-Store,3,127
ethan.young@gmail.com,Click-and-Collect,-11,127
grace.rossi@example.com,In-Store,41,110
maria.khan@outlook.com,Click-and-Collect,-3,125
ethan.young@gmail.com,In-Store,36,127
maria.khan@outlook.com,In-Store,21,125
ethan.young@gmail.com,In-Store,-98,127
daniel.patel@outlook.com,In-Store,33,140
leo.taylor@gmail.com,In-Store,-95,131
daniel.patel@outlook.com,In-Store,-48,140
daniel.patel@outlook.com,Click-and-Collect,-6,140
maria.khan@outlook.com,In-Store,36,125
maria.khan@outlook.com,In-Store,-69,125
maria.khan@outlook.com,Click-and-Collect,24,125
ethan.young@gmail.com,In-Store,-83,127
ethan.young@gmail.com,In-Store,33,127
daniel.patel@outlook.com,In-Store,20,140
grace.rossi@example.com,Click-and-Collect,-74,110
maria.khan@outlook.com,In-Store,-31,125
daniel.patel@outlook.com,Click-and-Collect,-76,140
ethan.young@gmail.com,Click-and-Collect,15,127
ethan.young@gmail.com,Click-and-Collect,14,127
daniel.patel@outlook.com,In-Store,15,140
maria.khan@outlook.com,Click-and-Collect,6,125
daniel.patel@outlook.com,In-Store,-4,140
leo.taylor@gmail.com,In-Store,-89,131
grace.rossi@example.com,Click-and-Collect,-2,110
ethan.young@gmail.com,In-Store,5,127
leo.taylor@gmail.com,Click-and-Collect,15,131
maria.khan@outlook.com,Click-and-Collect,26,125
ethan.young@gmail.com,In-Store,-54,127
ethan.young@gmail.com,Click-and-Collect,15,127
ethan.young@gmail.com,In-Store,22,127
grace.rossi@example.com,In-Store,23,110
daniel.patel@outlook.com,In-Store,-83,140
grace.rossi@example.com,In-Store,-75,110
grace.rossi@example.com,In-Store,-12,110
grace.rossi@example.com,Click-and-Collect,18,110
ethan.young@gmail.com,Click-and-Collect,-73,127
maria.khan@outlook.com,In-Store,11,125
daniel.patel@outlook.com,In-Store,3,140
daniel.patel@outlook.com,In-Store,41,140
maria.khan@outlook.com,In-Store,-19,125
maria.khan@outlook.com,Click-and-Collect,-89,125
leo.taylor@gmail.com,In-Store,-57,131
daniel.patel@outlook.com,In-Store,43,140
maria.khan@outlook.com,Click-and-Collect,7,125
daniel.patel@outlook.com,Click-and-Collect,9,140
ethan.young@gmail.com,Click-and-Collect,-30,127
maria.khan@outlook.com,Click-and-Collect,12,125
daniel.patel@outlook.com,In-Store,-70,140
ethan.young@gmail.com,Click-and-Collect,31,127
daniel.patel@outlook.com,Click-and-Collect,20,140
maria.khan@outlook.com,Click-and-Collect,16,125
daniel.patel@outlook.com,Click-and-Collect,38,140
maria.khan@outlook.com,In-Store,7,125
leo.taylor@gmail.com,Click-and-Collect,-50,131
grace.rossi@example.com,In-Store,31,110
grace.rossi@example.com,In-Store,-17,110
leo.taylor@gmail.com,Click-and-Collect,10,131
daniel.patel@outlook.com,In-Store,-78,140
ethan.young@gmail.com,In-Store,-4,127
leo.taylor@gmail.com,In-Store,-81,131
leo.taylor@gmail.com,In-Store,-100,131
leo.taylor@gmail.com,In-Store,-81,131
grace.rossi@example.com,In-Store,14,110
maria.khan@outlook.com,In-Store,23,125
grace.rossi@example.com,Click-and-Collect,-66,110
leo.taylor@gmail.com,Click-and-Collect,17,131
daniel.patel@outlook.com,Click-and-Collect,-27,140
grace.rossi@example.com,In-Store,13,110
ethan.young@gmail.com,In-Store,-52,127
ethan.young@gmail.com,In-Store,5,127
maria.khan@outlook.com,Click-and-Collect,-71,125
ethan.young@gmail.com,Click-and-Collect,-46,127
leo.taylor@gmail.com,In-Store,46,131
grace.rossi@example.com,Click-and-Collect,-18,110
leo.taylor@gmail.com,In-Store,30,131
maria.khan@outlook.com,Click-and-Collect,5,125
daniel.patel@outlook.com,In-Store,-92,140
daniel.patel@outlook.com,In-Store,9,140
grace.rossi@example.com,Click-and-Collect,-30,110
daniel.patel@outlook.com,In-Store,26,140
maria.khan@outlook.com,Click-and-Collect,5,125
ethan.young@gmail.com,Click-and-Collect,-14,127
leo.taylor@gmail.com,Click-and-Collect,5,131
maria.khan@outlook.com,Click-and-Collect,-52,125
ethan.young@gmail.com,In-Store,-98,127
maria.khan@outlook.com,Click-and-Collect,-49,125
ethan.young@gmail.com,Click-and-Collect,-1,127
maria.khan@outlook.com,Click-and-Collect,19,125
leo.taylor@gmail.com,Click-and-Collect,18,131
daniel.patel@outlook.com,Click-and-Collect,-78,140
daniel.patel@outlook.com,In-Store,-15,140
daniel.patel@outlook.com,Click-and-Collect,-19,140
leo.taylor@gmail.com,Click-and-Collect,-8,131
maria.khan@outlook.com,Click-and-Collect,8,125
leo.taylor@gmail.com,Click-and-Collect,-21,131
ethan.young@gmail.com,In-Store,-26,127
grace.rossi@example.com,In-Store,40,110
grace.rossi@example.com,Click-and-Collect,-42,110
ethan.young@gmail.com,In-Store,32,127
ethan.young@gmail.com,In-Store,35,127
daniel.patel@outlook.com,Click-and-Collect,46,140
maria.khan@outlook.com,Click-and-Collect,-58,125
daniel.patel@outlook.com,In-Store,-12,140
leo.taylor@gmail.com,Click-and-Collect,5,131
ethan.young@gmail.com,In-Store,6,127
leo.taylor@gmail.com,In-Store,7,131
maria.khan@outlook.com,In-Store,34,125
daniel.patel@outlook.com,In-Store,-13,140
daniel.patel@outlook.com,Click-and-Collect,20,140
maria.khan@outlook.com,In-Store,33,125
ethan.young@gmail.com,Click-and-Collect,30,127
ethan.young@gmail.com,In-Store,13,127
maria.khan@outlook.com,In-Store,0,125
ethan.young@gmail.com,In-Store,47,127
grace.rossi@example.com,Click-and-Collect,-17,110
maria.khan@outlook.com,Click-and-Collect,-81,125
ethan.young@gmail.com,In-Store,4,127
daniel.patel@outlook.com,In-Store,-29,140
leo.taylor@gmail.com,Click-and-Collect,10,131
grace.rossi@example.com,In-Store,34,110
maria.khan@outlook.com,Click-and-Collect,-12,125
daniel.patel@outlook.com,Click-and-Collect,-92,140
leo.taylor@gmail.com,In-Store,39,131
grace.rossi@example.com,Click-and-Collect,18,110
daniel.patel@outlook.com,In-Store,42,140
leo.taylor@gmail.com,Click-and-Collect,-48,131
maria.khan@outlook.com,In-Store,35,125
ethan.young@gmail.com,Click-and-Collect,0,127
maria.khan@outlook.com,In-Store,2,125
maria.khan@outlook.com,In-Store,-69,125
ethan.young@gmail.com,In-Store,28,127
ethan.young@gmail.com,Click-and-Collect,14,127
ethan.young@gmail.com,Click-and-Collect,6,127
daniel.patel@outlook.com,In-Store,29,140
maria.khan@outlook.com,In-Store,1,125
ethan.young@gmail.com,Click-and-Collect,11,127
leo.taylor@gmail.com,Click-and-Collect,13,131
daniel.patel@outlook.com,In-Store,-17,140
ethan.young@gmail.com,In-Store,-17,127
maria.khan@outlook.com,In-Store,9,125
leo.taylor@gmail.com,In-Store,-57,131
ethan.young@gmail.com,Click-and-Collect,5,127
ethan.young@gmail.com,In-Store,-3,127
leo.taylor@gmail.com,Click-and-Collect,7,131
daniel.patel@outlook.com,Click-and-Collect,20,140
grace.rossi@example.com,Click-and-Collect,-60,110
maria.khan@outlook.com,In-Store,-5,125
maria.khan@outlook.com,In-Store,-18,125
maria.khan@outlook.com,Click-and-Collect,10,125
maria.khan@outlook.com,Click-and-Collect,36,125
leo.taylor@gmail.com,In-Store,-18,131
maria.khan@outlook.com,In-Store,10,125
grace.rossi@example.com,In-Store,-79,110
ethan.young@gmail.com,In-Store,18,127
daniel.patel@outlook.com,In-Store,-19,140
daniel.patel@outlook.com,In-Store,4,140
grace.rossi@example.com,Click-and-Collect,-12,110
leo.taylor@gmail.com,In-Store,-39,131
grace.rossi@example.com,In-Store,18,110
ethan.young@gmail.com,In-Store,-67,127
daniel.patel@outlook.com,In-Store,-65,140
daniel.patel@outlook.com,Click-and-Collect,-2,140
maria.khan@outlook.com,Click-and-Collect,29,125
maria.khan@outlook.com,Click-and-Collect,-56,125
maria.khan@outlook.com,Click-and-Collect,-56,125
daniel.patel@outlook.com,Click-and-Collect,32,140
grace.rossi@example.com,Click-and-Collect,27,110
ethan.young@gmail.com,Click-and-Collect,-59,127
daniel.patel@outlook.com,Click-and-Collect,40,140
maria.khan@outlook.com,In-Store,13,125
ethan.young@gmail.com,Click-and-Collect,9,127
grace.rossi@example.com,In-Store,-71,110
grace.rossi@example.com,Click-and-Collect,20,110
grace.rossi@example.com,In-Store,24,110
daniel.patel@outlook.com,In-Store,-52,140
daniel.patel@outlook.com,In-Store,-12,140
daniel.patel@outlook.com,Click-and-Collect,35,140
leo.taylor@gmail.com,Click-and-Collect,-98,131
ethan.young@gmail.com,In-Store,-58,127
leo.taylor@gmail.com,In-Store,-8,131
maria.khan@outlook.com,In-Store,-19,125
leo.taylor@gmail.com,In-Store,-16,131
ethan.young@gmail.com,In-Store,-40,127
daniel.patel@outlook.com,In-Store,-19,140
daniel.patel@outlook.com,Click-and-Collect,12,140
ethan.young@gmail.com,In-Store,14,127
grace.rossi@example.com,In-Store,47,110
ethan.young@gmail.com,Click-and-Collect,41,127
maria.khan@outlook.com,In-Store,-23,125
daniel.patel@outlook.com,Click-and-Collect,13,140
grace.rossi@example.com,Click-and-Collect,-69,110
leo.taylor@gmail.com,Click-and-Collect,-23,131
maria.khan@outlook.com,In-Store,-11,125
grace.rossi@example.com,Click-and-Collect,38,110
daniel.patel@outlook.com,Click-and-Collect,-99,140
leo.taylor@gmail.com,In-Store,50,131
maria.khan@outlook.com,Click-and-Collect,-14,125
daniel.patel@outlook.com,Click-and-Collect,-10,140
ethan.young@gmail.com,In-Store,-90,127
leo.taylor@gmail.com,In-Store,-60,131
daniel.patel@outlook.com,In-Store,-59,140
leo.taylor@gmail.com,Click-and-Collect,-16,131
maria.khan@outlook.com,Click-and-Collect,28,125
leo.taylor@gmail.com,Click-and-Collect,-95,131
daniel.patel@outlook.com,In-Store,5,140
ethan.young@gmail.com,In-Store,-89,127
grace.rossi@example.com,In-Store,48,110
grace.rossi@example.com,In-Store,-24,110
grace.rossi@example.com,Click-and-Collect,4,110
maria.khan@outlook.com,In-Store,-33,125
grace.rossi@example.com,In-Store,-46,110
daniel.patel@outlook.com,Click-and-Collect,-17,140
leo.taylor@gmail.com,In-Store,29,131
leo.taylor@gmail.com,In-Store,-63,131
grace.rossi@example.com,Click-and-Collect,-19,110
ethan.young@gmail.com,In-Store,39,127
maria.khan@outlook.com,Click-and-Collect,11,125
maria.khan@outlook.com,In-Store,-79,125
maria.khan@outlook.com,In-Store,-79,125
daniel.patel@outlook.com,Click-and-Collect,-5,140
grace.rossi@example.com,In-Store,-21,110
daniel.patel@outlook.com,In-Store,42,140
daniel.patel@outlook.com,In-Store,18,140
grace.rossi@example.com,In-Store,-3,110
leo.taylor@gmail.com,In-Store,-47,131
grace.rossi@example.com,In-Store,-14,110
leo.taylor@gmail.com,Click-and-Collect,-12,131
daniel.patel@outlook.com,Click-and-Collect,-41,140
grace.rossi@example.com,In-Store,-3,110
daniel.patel@outlook.com,In-Store,45,140
daniel.patel@outlook.com,In-Store,-98,140
leo.taylor@gmail.com,Click-and-Collect,-20,131
maria.khan@outlook.com,In-Store,2,125
leo.taylor@gmail.com,In-Store,36,131
ethan.young@gmail.com,In-Store,-80,127
maria.khan@outlook.com,In-Store,-97,125
daniel.patel@outlook.com,Click-and-Collect,-12,140
