loyalty_member_id,enrolment_date,first_name,last_name,email,date_of_birth,gender,primary_store_id,consent_marketing,points_txn_id,source_system,source_reference,activity_type,points,activity_datetime
3004,30/11/2023,Leo,Taylor,leo.taylor@gmail.com,28/04/1974,Prefer not to say,2,False,70148,ONLINE,80745,Adjust,14,24/01/2024 01:02
3004,30/11/2023,Leo,Taylor,leo.taylor@gmail.com,28/04/1974,Prefer not to say,2,False,70150,ONLINE,87216,Adjust,-2,26/03/2024 10:49
3004,30/11/2023,Leo,Taylor,leo.taylor@gmail.com,28/04/1974,Prefer not to say,2,False,70182,POS,93785,Adjust,6,17/01/2024 23:14
3004,30/11/2023,Leo,Taylor,leo.taylor@gmail.com,28/04/1974,Prefer not to say,2,False,71807,POS,94455,Redeem,-34,12/01/2024 12:00
3005,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False,70407,POS,86765,Redeem,-50,17/03/2024 05:40
3005,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False,70496,ONLINE,80280,Adjust,-3,07/04/2024 12:40
3005,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False,71413,POS,81766,Redeem,-65,08/01/2024 17:45
3005,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False,71471,ONLINE,83489,Adjust,13,03/02/2024 23:00
3005,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False,71572,POS,87882,Adjust,-8,05/01/2024 21:09
3005,08/07/2020,Maria,Khan,maria.khan@outlook.com,03/03/1969,Prefer not to say,1,False,71819,ONLINE,88372,Adjust,17,22/03/2024 17:19
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,70451,POS,89475,Redeem,-42,01/01/2024 13:10
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,70742,POS,90606,Adjust,-20,27/03/2024 07:21
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,71357,ONLINE,86745,Earn,38,27/04/2024 08:36
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,71459,POS,85185,Adjust,10,17/04/2024 00:57
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,71577,POS,84830,Redeem,-84,14/02/2024 04:03
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,71653,ONLINE,80394,Redeem,-65,02/02/2024 20:39
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,71732,POS,93622,Earn,21,19/01/2024 10:06
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,71821,POS,92089,Adjust,-13,26/02/2024 05:22
3006,03/02/2024,Lucas,Young,lucas.young@outlook.com,24/11/1963,Prefer not to say,3,True,71981,POS,92572,Earn,14,03/03/2024 15:29
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,70080,ONLINE,84564,Adjust,-8,13/03/2024 12:55
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,70520,POS,89780,Earn,27,10/04/2024 21:25
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,70545,ONLINE,81406,Redeem,-23,23/02/2024 18:45
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,70669,POS,94676,Redeem,-86,09/02/2024 20:54
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,70705,ONLINE,81342,Earn,15,26/04/2024 04:17
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,71182,POS,85572,Redeem,-74,29/01/2024 01:10
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,71440,ONLINE,82502,Earn,29,20/04/2024 01:28
3007,20/06/2023,Isabella,Rossi,isabella.rossi@outlook.com,25/05/2016,Other,3,True,71794,ONLINE,85630,Earn,45,25/03/2024 02:05
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,70121,POS,83908,Earn,17,04/01/2024 17:02
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,70661,POS,85799,Redeem,-97,18/03/2024 16:07
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,70699,ONLINE,82573,Redeem,-93,31/01/2024 00:53
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,70737,ONLINE,82909,Earn,28,29/03/2024 23:32
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,71204,ONLINE,87842,Earn,35,21/01/2024 13:12
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,71223,ONLINE,90243,Earn,32,17/04/2024 10:27
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,71317,POS,94664,Redeem,-75,22/01/2024 03:05
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,71638,ONLINE,80797,Earn,14,17/04/2024 08:06
3008,12/06/2020,Elena,Wilson,elena.wilson@yahoo.com,17/12/1985,F,1,False,71663,POS,84409,Redeem,-91,12/02/2024 13:13
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,70232,ONLINE,87285,Adjust,3,09/02/2024 13:15
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,70352,ONLINE,86095,Adjust,-11,22/03/2024 21:44
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,70696,ONLINE,81715,Redeem,-12,28/02/2024 00:29
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,71050,POS,81617,Earn,11,29/03/2024 08:36
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,71051,ONLINE,88615,Adjust,4,29/04/2024 18:30
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,71276,ONLINE,92734,Earn,9,14/04/2024 00:14
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,71414,POS,87685,Adjust,12,17/04/2024 23:37
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,71498,ONLINE,92074,Redeem,-20,30/03/2024 12:14
3009,28/01/2022,Sofia,Evans,sofia.evans@outlook.com,04/08/1974,Other,1,False,71977,ONLINE,90899,Earn,47,06/02/2024 05:24
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,70194,ONLINE,94249,Earn,37,17/04/2024 10:32
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,70630,ONLINE,84067,Adjust,6,10/02/2024 20:55
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,70677,POS,80326,Earn,8,12/02/2024 08:20
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,70769,POS,94614,Adjust,-8,08/03/2024 22:06
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,70895,ONLINE,90713,Adjust,-4,08/04/2024 22:27
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,70948,POS,82579,Redeem,-40,29/04/2024 05:49
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,71071,POS,84341,Redeem,-55,29/01/2024 10:02
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,71172,POS,90276,Adjust,-12,28/03/2024 15:41
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,71185,POS,80067,Redeem,-59,05/04/2024 02:09
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,71290,POS,86643,Redeem,-17,02/03/2024 11:30
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,71617,POS,88527,Adjust,1,11/03/2024 23:54
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,71757,POS,91060,Adjust,-8,01/03/2024 18:12
3010,02/02/2024,Elena,Young,elena.young@yahoo.com,02/12/2007,F,1,False,71932,POS,82198,Earn,14,24/02/2024 13:26
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,70073,ONLINE,83441,Redeem,-56,08/01/2024 06:18
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,70397,ONLINE,93172,Earn,7,25/01/2024 22:43
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,70848,ONLINE,82131,Redeem,-45,11/04/2024 07:48
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,70903,ONLINE,86358,Adjust,-7,04/04/2024 06:40
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,71033,POS,86084,Adjust,10,18/04/2024 12:53
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,71080,POS,85354,Redeem,-79,12/04/2024 20:08
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,71303,ONLINE,92741,Earn,11,25/04/2024 02:06
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,71365,ONLINE,84266,Redeem,-83,24/01/2024 00:34
3011,22/09/2024,Isabella,Taylor,isabella.taylor@yahoo.com,03/02/1989,M,1,True,71976,ONLINE,94761,Earn,30,17/03/2024 15:37
3012,08/03/2021,Emma,Baker,emma.baker@outlook.com,08/12/1965,Other,1,False,70009,POS,86201,Adjust,9,07/04/2024 14:48
3012,08/03/2021,Emma,Baker,emma.baker@outlook.com,08/12/1965,Other,1,False,70334,POS,93605,Redeem,-79,02/03/2024 15:08
3012,08/03/2021,Emma,Baker,emma.baker@outlook.com,08/12/1965,Other,1,False,70629,POS,82932,Redeem,-56,10/03/2024 17:15
3012,08/03/2021,Emma,Baker,emma.baker@outlook.com,08/12/1965,Other,1,False,70928,POS,93144,Adjust,13,19/03/2024 02:08
3012,08/03/2021,Emma,Baker,emma.baker@outlook.com,08/12/1965,Other,1,False,71332,POS,86974,Earn,35,01/04/2024 18:57
3012,08/03/2021,Emma,Baker,emma.baker@outlook.com,08/12/1965,Other,1,False,71597,POS,91573,Adjust,-3,28/01/2024 12:30
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,70389,ONLINE,84681,Redeem,-73,18/04/2024 18:35
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,70421,POS,80860,Adjust,13,11/02/2024 01:58
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,70660,ONLINE,88128,Earn,41,19/03/2024 20:29
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,70735,ONLINE,86035,Redeem,-100,06/02/2024 05:55
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,70740,POS,90606,Earn,41,09/02/2024 00:22
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,71362,ONLINE,82725,Earn,27,21/02/2024 18:29
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,71545,POS,92186,Adjust,-2,28/02/2024 19:57
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,71593,ONLINE,91090,Earn,27,17/02/2024 11:29
3013,12/10/2020,Isabella,Evans,isabella.evans@yahoo.com,06/10/1983,F,3,False,71598,POS,92806,Redeem,-68,21/01/2024 04:39
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70068,ONLINE,80722,Earn,45,18/03/2024 02:37
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70149,ONLINE,81680,Adjust,-2,23/01/2024 23:43
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70179,POS,84719,Earn,22,09/04/2024 23:34
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70242,POS,92216,Earn,31,05/04/2024 18:30
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70268,POS,91042,Earn,15,22/04/2024 11:22
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70609,POS,83949,Earn,36,11/03/2024 05:57
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70700,POS,86705,Earn,26,07/02/2024 10:03
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70703,POS,84825,Redeem,-10,18/03/2024 20:14
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70762,ONLINE,86704,Earn,13,06/02/2024 11:06
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,70851,ONLINE,92941,Adjust,19,24/02/2024 19:45
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,71196,POS,91545,Earn,32,12/03/2024 08:18
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,71239,ONLINE,87438,Redeem,-78,02/01/2024 23:06
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,71502,ONLINE,92960,Adjust,-9,24/04/2024 17:11
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,71702,POS,92709,Redeem,-76,13/02/2024 02:20
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,71828,ONLINE,88543,Adjust,-5,10/02/2024 11:52
3014,25/03/2021,Leo,Turner,leo.turner@example.com,22/06/1992,F,3,False,71991,ONLINE,91471,Redeem,-62,05/04/2024 13:38
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,70203,ONLINE,82385,Redeem,-55,09/03/2024 05:42
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,70273,POS,92572,Earn,18,24/02/2024 20:55
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,70291,POS,90076,Redeem,-46,14/01/2024 23:14
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,70449,ONLINE,87484,Redeem,-26,03/04/2024 10:24
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,70732,ONLINE,91625,Adjust,-10,12/01/2024 22:41
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,70838,ONLINE,91196,Earn,22,30/01/2024 07:08
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,71174,ONLINE,89096,Adjust,-1,12/04/2024 20:16
3015,09/07/2023,Elena,Wilson,elena.wilson@gmail.com,17/09/1973,F,3,False,71455,POS,90618,Adjust,-5,15/02/2024 01:50
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,70110,POS,94036,Earn,31,11/03/2024 21:39
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,70453,ONLINE,86698,Earn,35,06/01/2024 18:39
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,70614,ONLINE,86939,Redeem,-74,22/02/2024 03:41
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,70712,ONLINE,89383,Redeem,-76,17/03/2024 05:01
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,71108,POS,89092,Adjust,-4,11/03/2024 11:34
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,71272,ONLINE,81137,Redeem,-43,02/02/2024 09:23
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,71669,ONLINE,93754,Redeem,-44,18/04/2024 20:07
3016,05/05/2023,Chloe,Rossi,chloe.rossi@example.com,27/03/1994,Prefer not to say,3,False,71993,POS,84985,Adjust,7,27/04/2024 05:07
3017,17/03/2024,Grace,Patel,grace.patel@gmail.com,04/03/2008,Other,3,False,70024,ONLINE,88669,Redeem,-58,18/04/2024 11:28
3017,17/03/2024,Grace,Patel,grace.patel@gmail.com,04/03/2008,Other,3,False,70152,POS,82485,Redeem,-72,14/01/2024 11:40
3017,17/03/2024,Grace,Patel,grace.patel@gmail.com,04/03/2008,Other,3,False,70227,ONLINE,81911,Adjust,9,25/02/2024 00:17
3017,17/03/2024,Grace,Patel,grace.patel@gmail.com,04/03/2008,Other,3,False,70243,POS,87405,Redeem,-67,06/03/2024 21:46
3017,17/03/2024,Grace,Patel,grace.patel@gmail.com,04/03/2008,Other,3,False,70773,ONLINE,91924,Earn,24,22/02/2024 22:38
3017,17/03/2024,Grace,Patel,grace.patel@gmail.com,04/03/2008,Other,3,False,71209,ONLINE,92850,Redeem,-36,17/04/2024 13:59
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,False,70039,POS,84562,Earn,26,13/01/2024 21:34
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,False,70062,POS,87179,Earn,28,21/02/2024 21:07
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,False,70081,ONLINE,91133,Redeem,-54,26/04/2024 18:40
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,False,70200,POS,92235,Earn,45,22/02/2024 07:34
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,False,71016,POS,90434,Earn,13,22/02/2024 17:15
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,False,71116,POS,85203,Adjust,14,22/01/2024 13:14
3018,18/07/2022,Daniel,Clark,daniel.clark@example.com,10/03/1974,M,3,False,71775,POS,84769,Redeem,-46,07/02/2024 11:33
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,70060,POS,81200,Earn,34,23/04/2024 01:53
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,70452,POS,88866,Earn,32,03/03/2024 17:16
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,70478,POS,87854,Earn,42,11/04/2024 17:39
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,70697,POS,91992,Redeem,-31,09/03/2024 08:24
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,70867,ONLINE,86357,Adjust,-6,17/02/2024 02:03
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,70871,ONLINE,92892,Redeem,-74,20/01/2024 07:42
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,71088,POS,81843,Redeem,-65,28/02/2024 21:00
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,71271,ONLINE,85450,Redeem,-17,10/03/2024 16:28
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,71546,POS,86534,Adjust,18,10/03/2024 10:19
3019,03/09/2021,Ethan,Green,ethan.green@gmail.com,05/02/2016,F,1,False,71904,POS,91486,Adjust,-2,21/02/2024 09:40
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70071,POS,93674,Adjust,-11,09/04/2024 07:43
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70159,ONLINE,91294,Earn,5,15/03/2024 08:50
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70278,ONLINE,91624,Redeem,-83,19/03/2024 03:34
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70307,POS,90845,Redeem,-22,02/04/2024 10:07
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70492,ONLINE,82252,Adjust,-17,02/01/2024 03:53
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70596,ONLINE,80152,Earn,42,11/02/2024 04:14
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70658,ONLINE,93259,Earn,9,05/02/2024 23:59
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70698,ONLINE,91542,Adjust,-15,02/03/2024 12:31
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70847,POS,86180,Earn,16,03/04/2024 13:01
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,70893,POS,93314,Earn,37,24/04/2024 23:37
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,71074,POS,87999,Adjust,0,28/03/2024 20:13
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,71468,ONLINE,87092,Adjust,-1,01/04/2024 20:48
3020,25/10/2021,Tom,Hill,tom.hill@gmail.com,25/09/2013,Prefer not to say,1,True,71961,ONLINE,80834,Redeem,-27,03/04/2024 12:19
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70010,ONLINE,89459,Adjust,-2,24/04/2024 10:34
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70057,ONLINE,84272,Redeem,-94,16/04/2024 06:06
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70119,POS,85733,Redeem,-12,08/04/2024 04:45
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70198,ONLINE,85188,Redeem,-96,07/04/2024 03:25
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70247,POS,82067,Redeem,-87,28/01/2024 00:04
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70269,ONLINE,89946,Redeem,-66,18/03/2024 04:32
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70282,POS,85456,Redeem,-49,02/03/2024 19:21
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70345,ONLINE,87305,Redeem,-94,23/02/2024 19:40
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70418,ONLINE,92244,Redeem,-66,29/04/2024 09:59
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70501,ONLINE,86213,Adjust,-18,18/01/2024 00:30
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70764,POS,85134,Redeem,-52,24/04/2024 21:01
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,70989,ONLINE,90349,Redeem,-88,22/02/2024 03:50
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,71014,ONLINE,84664,Redeem,-90,13/02/2024 14:39
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,71236,ONLINE,88469,Earn,38,20/02/2024 20:48
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,71237,POS,87740,Adjust,19,17/01/2024 02:25
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,71352,POS,81791,Redeem,-32,22/02/2024 11:55
3021,08/05/2021,Lucas,Clark,lucas.clark@yahoo.com,13/03/1965,M,1,False,71742,POS,82743,Redeem,-94,21/04/2024 22:28
